LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
703,415002,434702,"Centrum Mody,                   ND 02  NŻ  |25|28|               Kościelna,                      r","Węzeł Nadarzyn,                 ND 02      |28|31|               zawrotka na rondzie,                                                                 |  |  |               Kościelna,                      r"
703,434702,434701,"Węzeł Nadarzyn,                 ND 02      |28|31|               zawrotka na rondzie,                                                                 |  |  |               Kościelna,                      r","Węzeł Nadarzyn,                 ND 01      |29|33|"
703,434701,405902,"Węzeł Nadarzyn,                 ND 01      |29|33|","Kajetany,                       KT 02  NŻ  |30|34|                                               r"
703,405902,408302,"Kajetany,                       KT 02  NŻ  |30|34|                                               r","Modra,                          KT 02  NŻ  |31|35|                                               r"
703,408302,406002,"Modra,                          KT 02  NŻ  |31|35|                                               r","Gołębia,                        KT 02  NŻ  |32|36|                                               r"
703,406002,406102,"Gołębia,                        KT 02  NŻ  |32|36|                                               r","Rolna,                          KT 02  NŻ  |34|38|               Nadarzyńska,                    r"
703,406102,406202,"Rolna,                          KT 02  NŻ  |34|38|               Nadarzyńska,                    r","POD Kajetany,                   KT 02  NŻ  |36|40|"
703,406202,406301,"POD Kajetany,                   KT 02  NŻ  |36|40|","Szamoty,                        SM 01  NŻ  |38|42|               zawrotka,                                                                            |  |  |               Nadarzyńska,                    r"
703,406301,433302,"Szamoty,                        SM 01  NŻ  |38|42|               zawrotka,                                                                            |  |  |               Nadarzyńska,                    r","Kozaków,                        SM 02  NŻ  |39|43|"
703,433302,426702,"Kozaków,                        SM 02  NŻ  |39|43|","Wólka Kosowska,                 WK 02  NŻ  |40|44|"
703,426702,426601,"Wólka Kosowska,                 WK 02  NŻ  |40|44|","Kosów,                          KX 01      |41|45|"
704,200814,201002,"Wiatraczna,","Wspólna Droga,"
704,201002,201102,"Wspólna Droga,","pl.Szembeka,"
704,201102,201202,"pl.Szembeka,","Żółkiewskiego,"
704,201202,201302,"Żółkiewskiego,","Kwatery Głównej,"
704,201302,201402,"Kwatery Głównej,","Gocławek,"
704,201402,201506,"Gocławek,","Płowiecka,"
704,201506,201702,"Płowiecka,","Edisona,"
704,201702,201802,"Edisona,","Trakt Lubelski,"
